from,to,freespeed,length,capacity,number_of_lanes,is_pickup_or_dropoff,time_between_nodes,time_between_nodes_cumsum,stop_duration_cumsum,estimated_time,hms
1,2,8.333333333333334,1000,500,1,FALSE,119.99999999999999,0,0,25200,07:00:00
2,3,8.333333333333334,1000,500,1,TRUE,119.99999999999999,119.99999999999999,60,25380,07:03:00
3,4,8.333333333333334,1000,500,1,TRUE,119.99999999999999,239.99999999999994,120,25560,07:06:00
4,5,8.333333333333334,1000,500,1,FALSE,119.99999999999999,359.99999999999994,120,25680,07:08:00
5,6,8.333333333333334,1000,500,1,TRUE,119.99999999999999,479.9999999999999,180,25860,07:11:00
6,7,8.333333333333334,1000,500,1,TRUE,119.99999999999999,599.9999999999999,240,26040,07:14:00
7,8,8.333333333333334,1000,500,1,TRUE,119.99999999999999,719.9999999999999,300,26220,07:17:00
8,9,8.333333333333334,1000,500,1,TRUE,119.99999999999999,839.9999999999999,360,26400,07:20:00
9,10,8.333333333333334,1000,500,1,FALSE,119.99999999999999,959.9999999999998,360,26520,07:22:00
10,11,8.333333333333334,1000,500,1,FALSE,119.99999999999999,1079.9999999999998,360,26640,07:24:00
11,1,8.333333333333334,10000,500,1,FALSE,119.99999999999999,1199.9999999999998,360,26760,07:26:00
